id,year,assets,capex,ltd,ebitda,ppe,sales,ads,rd,bookval,mv,indclass,tobinsQ
2255,2005,5816.6,111.1,1030.3,967.9,1701.9,6523.7,193.6,133.8,1712.1,6726.96,21,3.929069564
2255,2006,5247.7,104.6,1170.3,893.9,1736.3,6447.3,182.4,139.4,1361.2,5336.8,21,3.920658243
2267,1990,550.735,33.258,19.459,65.027,192.936,512.884,152.918,15.658,389.21,670.64,9,1.723080085
2267,1991,649.608,36.202,19.435,62.669,228.007,562.932,167.592,20.281,436.07,1061.42,9,2.434058752
2267,1992,726.497,46.268,19.16,71.194,259.801,624.826,177.667,20.428,492.77,1011.45,9,2.052580311
2267,1993,771.068,35.215,17.88,55.767,289.414,613.283,181.34,21.568,518.65,706.74,9,1.362653042
2267,1997,1087.072,45.822,58.318,82.293,384.029,863.057,201.653,25.849,657.12,930.31,9,1.415738374
2267,1998,1166.763,39.754,107.012,66.478,387.531,821.101,205.099,22.635,680.95,961.41,9,1.411865776
2267,1999,1176.931,28.042,105.308,82.144,363.625,864.32,203.867,25.416,701.44,706.03,9,1.006543682
2290,2001,4933.968,340.758,1316.255,514.611,5672.621,7422.175,45,4.8,1765.92,1974.69,42,1.118221663
2290,2002,4947.4,237.145,1611.346,458.549,5786.69,7412.329,41.3,3.1,1423.71,1469.92,42,1.032457453
2290,2003,7376.159,227.76,2191.463,483.122,6214.253,8245.146,113.6,3.1,2200.73,2863.32,42,1.30107737
2290,2004,7542.999,298.242,2055.082,675.923,958.794,13270.196,344.1,2.4,2548.51,2936.41,42,1.152206583
2290,2005,6272.142,152.45,1877.242,239.082,1083.563,9157.66,276.2,0,1680.94,1795.61,42,1.068217783
2290,2008,4173.583,143.968,1759.922,334.758,1289.279,8267.008,232.1,0,247.44,580.46,42,2.345861623
2290,2009,4069.531,38.277,1744.622,148.141,1316.855,7212.05,211.3,0,466.72,1073.89,42,2.300929894
2290,2010,4078.929,93.511,1740.435,237.402,1346.558,7150.007,228.3,0,569.86,1505.53,42,2.641929597
2290,2011,4069.275,69.632,1699.323,185.604,1308.637,7121.167,225.3,0,540.27,391.16,42,0.724008366
